,Price,Area,Price Per Area,Beds,Baths,Street,City,State,Broker,Month,Day,Year
76,369000.0,1458.0,253.08641980000004,3.0,2.0,325 Sylvan Ave SPC 83,Mountain View,CA,Alliance Manufactured Homes,5,14,2018
77,875000.0,978.0,894.6830266000003,2.0,2.0,500 W Middlefield Rd APT 37,Mountain View,CA,,5,14,2018
78,1198000.0,1394.0,859.3974175000003,2.0,2.0,265 Sierra Vista Ave,Mountain View,CA,,5,14,2018
79,1840000.0,930.0,1978.494624,3.0,1.0,201 Granada Dr,Mountain View,CA,HomeCoin.com,5,14,2018
80,1325000.0,1526.0,868.2830931,3.0,2.0,198 Central Ave,Mountain View,CA,Sereno Group,5,14,2018
81,2095000.0,1203.0,1741.479634,3.0,1.0,1377 Todd St,Mountain View,CA,,5,14,2018
82,299888.0,1049.0,285.8798856,2.0,2.0,191 E El Camino Real SPC 196,Mountain View,CA,Pams Homes,5,14,2018
83,3700000.0,1290.0,2868.217054,3.0,2.0,1107 High School Way,Mountain View,CA,"Reza Khan, Broker",5,14,2018
84,385000.0,1456.0,264.4230769,3.0,2.0,433 Sylvan Ave SPC 17,Mountain View,CA,Alliance Manufactured Homes,5,14,2018
85,998000.0,1213.0,822.7535037,2.0,2.0,2255 Showers Dr APT 382,Mountain View,CA,,5,14,2018
86,928000.0,1000.0,928.0,2.0,2.0,2047 Montecito Ave APT 22,Mountain View,CA,Realty One Group - World Properties,5,14,2018
87,2999000.0,2200.0,1363.181818,4.0,3.0,372 Farley St,Mountain View,CA,Coldwell Banker Residential Brokerage - Palo Alto Downtown,5,14,2018
88,2999000.0,2200.0,1363.181818,4.0,3.0,394 Farley St,Mountain View,CA,Coldwell Banker Residential Brokerage - Palo Alto Downtown,5,14,2018
89,998000.0,998.0,1000.0,2.0,2.0,905 W Middlefield Rd APT 985,Mountain View,CA,Altas Realty,5,14,2018
90,1900000.0,1041.0,1825.168108,2.0,1.0,624 Church St,Mountain View,CA,Realty One Group Infinity,5,14,2018
91,1998000.0,1539.0,1298.2456140000004,3.0,2.0,1013 Karen Way,Mountain View,CA,Deleon Realty,5,14,2018
92,1798000.0,1362.0,1320.117474,2.0,2.0,1609 Villa St,Mountain View,CA,,5,14,2018
93,1998000.0,1916.0,1042.797495,4.0,4.0,136 Avellino Way,Mountain View,CA,Deleon Realty,5,14,2018
94,598000.0,662.0,903.3232627999997,1.0,1.0,505 Cypress Point Dr UNIT 94,Mountain View,CA,Better Homes and Gardens Real Estate J.F. Finnegan Realtors,5,14,2018
95,1759000.0,1770.0,993.7853107,4.0,4.0,111 Savannah Loop,Mountain View,CA,,5,14,2018
96,3799800.0,3395.0,1119.234168,5.0,5.0,300 Cuesta Dr,Los Altos,CA,O Homez Inc,5,14,2018
97,3098000.0,2564.0,1208.268331,4.0,3.0,1453 Ranchita Dr,Los Altos,CA,,5,14,2018
98,2995000.0,2218.0,1350.3156,4.0,3.0,1816 Newcastle Dr,Los Altos,CA,Sereno Group,5,14,2018
99,5880000.0,5600.0,1050.0,5.0,7.0,168 Loucks Ave,Los Altos,CA,,5,14,2018
100,6495000.0,4300.0,1510.465116,5.0,5.0,290 Quinnhill Rd,Los Altos,CA,Sereno Group,5,14,2018
101,1998000.0,1173.0,1703.3248079999994,3.0,2.0,11691 Par Ave,Los Altos,CA,,5,14,2018
102,2700000.0,2222.0,1215.121512,4.0,3.0,960 Parma Way,Los Altos,CA,,5,14,2018
103,3998000.0,4283.0,933.4578566,5.0,4.0,737 Thorsen Ct,Los Altos,CA,,5,14,2018
104,2700000.0,2222.0,1215.121512,4.0,3.0,Parma Way,Los Altos,CA,Alain Pinel Realtors,5,14,2018
105,2099000.0,1840.0,1140.7608699999996,2.0,2.0,26 Deep Well Ln,Los Altos,CA,,5,14,2018
106,2975000.0,1953.0,1523.297491,4.0,3.0,1586 Ben Roe Dr,Los Altos,CA,Sterling Associates,5,14,2018
107,3500000.0,2815.0,1243.339254,4.0,3.0,316 Blue Oak Ln,Los Altos,CA,,5,14,2018
108,6998000.0,3148.0,2222.998729,4.0,4.0,762 Edgewood Ln,Los Altos,CA,,5,14,2018
109,4988000.0,3580.0,1393.2960890000006,4.0,5.0,980 Golden Way,Los Altos,CA,,5,14,2018
110,2500000.0,1468.0,1702.997275,3.0,2.0,22150 Cloverly Ct,Los Altos,CA,CENTURY 21 Hilltop,5,14,2018
111,2998000.0,2195.0,1365.831435,4.0,3.0,520 Benvenue Ave,Los Altos,CA,,5,14,2018
112,4998888.0,4450.0,1123.345618,5.0,6.0,780 S El Monte Ave,Los Altos,CA,Realty World - Alliance,5,14,2018
113,3495000.0,3014.0,1159.588587,5.0,4.0,1468 Frontero Ave,Los Altos,CA,,5,14,2018
114,2770000.0,1266.0,2187.993681,3.0,2.0,144 Marvin Ave,Los Altos,CA,,5,14,2018
115,4200000.0,3346.0,1255.230126,4.0,5.0,1474 Topar Ave,Los Altos,CA,,5,14,2018
116,7100000.0,5150.0,1378.6407769999994,6.0,8.0,1530 Arbor Ave,Los Altos,CA,,5,14,2018
117,3695000.0,3123.0,1183.1572210000004,5.0,4.0,1514 Kathy Ln,Los Altos,CA,Pertria,5,14,2018
118,3695000.0,3378.0,1093.84251,3.0,5.0,10999 Terry Way,Los Altos,CA,Sereno Group,5,14,2018
